Date,Pays,Filière,Valeur (TWh),
2024-08,Danemark,Toutes les filières,2,25696178
2024-09,Danemark,Toutes les filières,2,16851075
2024-10,Danemark,Toutes les filières,2,85106032
2024-11,Danemark,Toutes les filières,2,90763323
2024-12,Danemark,Toutes les filières,3,41628594
2025-01,Danemark,Toutes les filières,3,37737758
2025-02,Danemark,Toutes les filières,2,84465789
2025-03,Danemark,Toutes les filières,3,15179738
2025-04,Danemark,Toutes les filières,2,3108188
2025-05,Danemark,Toutes les filières,2,469765365
2025-06,Danemark,Toutes les filières,2,4667865325
2025-07,Danemark,Toutes les filières,2,907878225
2025-08,Danemark,Toutes les filières,2,21493039
2025-09,Danemark,Toutes les filières,2,57527784
2025-10,Danemark,Toutes les filières,2,989526895
2025-11,Danemark,Toutes les filières,3,1176033125
2016-01,Estonie,Autre,0,5813
2016-02,Estonie,Autre,0,55529
2016-03,Estonie,Autre,0,58373
2016-04,Estonie,Autre,0,48205
2016-05,Estonie,Autre,0,48787
2016-06,Estonie,Autre,0,46722
2016-07,Estonie,Autre,0,48392
2016-08,Estonie,Autre,0,486
2016-09,Estonie,Autre,0,4558
2016-10,Estonie,Autre,0,458
2016-11,Estonie,Autre,0,4161
2016-12,Estonie,Autre,0,41966999999999
2017-01,Estonie,Autre,0,45893
2017-02,Estonie,Autre,0,39705
2017-03,Estonie,Autre,0,44226
2017-04,Estonie,Autre,0,4587
2017-05,Estonie,Autre,0,49405
2017-06,Estonie,Autre,0,46192
2017-07,Estonie,Autre,0,45676
2017-08,Estonie,Autre,0,25209
2017-09,Estonie,Autre,0,4834
2017-10,Estonie,Autre,0,4993
2017-11,Estonie,Autre,0,48614
2017-12,Estonie,Autre,0,50134
2018-01,Estonie,Autre,0,3859
2018-02,Estonie,Autre,0,37980999999999
2018-03,Estonie,Autre,0,45071
2018-04,Estonie,Autre,0,45866
2018-05,Estonie,Autre,0,47533
2018-06,Estonie,Autre,0,4661
2018-07,Estonie,Autre,0,47679
2018-08,Estonie,Autre,0,48957
2018-09,Estonie,Autre,0,43048
2018-10,Estonie,Autre,0,39494
2018-11,Estonie,Autre,0,37653
2018-12,Estonie,Autre,0,47015
2019-01,Estonie,Autre,0,4963
2019-02,Estonie,Autre,0,42315
2019-03,Estonie,Autre,0,40018
2019-04,Estonie,Autre,0,38938
2019-05,Estonie,Autre,0,45566
2019-06,Estonie,Autre,0,46465
2019-07,Estonie,Autre,0,45337999999999
2019-08,Estonie,Autre,0,50072
2019-09,Estonie,Autre,0,43687
2019-10,Estonie,Autre,0,34134
2019-11,Estonie,Autre,0,34772
2019-12,Estonie,Autre,0,35107
2020-01,Estonie,Autre,0,35775
2020-02,Estonie,Autre,0,33546
2020-03,Estonie,Autre,0,33349
2020-04,Estonie,Autre,0,33705
2020-05,Estonie,Autre,0,36213
2020-06,Estonie,Autre,0,35897
2020-07,Estonie,Autre,0,36135
2020-08,Estonie,Autre,0,372
2020-09,Estonie,Autre,0,35921
2020-10,Estonie,Autre,0,32272
2020-11,Estonie,Autre,0,24529
2020-12,Estonie,Autre,0,31888
2021-01,Estonie,Autre,0,34736
2021-02,Estonie,Autre,0,31203
2021-03,Estonie,Autre,0,35002
2021-04,Estonie,Autre,0,34878
2021-05,Estonie,Autre,0,3527
2021-06,Estonie,Autre,0,33129
